id_shade,marca,produto,url_produto,url_imagem,descricao,nome_tom,tom_especifico,espaco_cores,codigo_hex,matiz,saturacao,luminosidade,tom_unificado
1,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551437sw?$tn$,355n (medium skin with a neutral golden undertone),,355n,rgb,#a06f4a,25.8139534883721,0.367521367521367,0.458823529411765,355n
2,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551414sw?$50px$,100n (very fair skin with a neutral undertone),,100n,rgb,#f1e7db,32.7272727272727,0.44,0.901960784313726,100n
3,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551412sw?$50px$,110c (very fair skin with a cool undertone),,110c,rgb,#f0e7db,34.2857142857143,0.411764705882353,0.9,110c
4,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551419sw?$50px$,120w (very fair skin with a warm undertone),,120w,rgb,#efd0ae,31.3846153846154,0.670103092783505,0.809803921568627,120w
5,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551416sw?$50px$,130n (very fair skin with a neutral pink undertone),,130n,rgb,#d5c1aa,32.093023255814,0.338582677165354,0.750980392156863,130n
6,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551415sw?$50px$,140n (fair skin with a neutral peach undertone),,140n,rgb,#dbc2a9,30.0,0.40983606557377,0.76078431372549,140n
7,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551418sw?$50px$,150w (fair skin with a warm beige undertone),,150w,rgb,#efcda8,31.2676056338028,0.689320388349515,0.798039215686275,150w
8,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551417sw?$50px$,160c (fair skin with a cool golden undertone),,160c,rgb,#dec5a7,32.7272727272727,0.454545454545454,0.762745098039216,160c
9,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551420sw?$50px$,200w (light skin with a warm undertone),,200w,rgb,#edcaa1,32.3684210526316,0.678571428571428,0.780392156862745,200w
10,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551423sw?$50px$,210n (light skin with a neutral golden undertone),,210n,rgb,#e8c9aa,30.0,0.574074074074074,0.788235294117647,210n
11,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551421sw?$50px$,220n (light skin with a neutral peach undertone),,220n,rgb,#d5b596,29.5238095238095,0.428571428571429,0.711764705882353,220n
12,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551422sw?$50px$,230n (light skin with a pink undertone),,230n,rgb,#d5ac87,28.4615384615385,0.481481481481482,0.682352941176471,230n
13,anastasia beverly hills,luminous foundation,https://www.ulta.com/luminous-foundation?productid=pimprod2008586,https://images.ulta.com/is/image/ulta/2551424sw?$50px$,240n (light skin with a neutral warm undertone),,240n,rgb,#dcb087,28.9411764705882,0.548387096774194,0.696078431372549,240n
